City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed (mph),Country,Date
Namatanai,-3.6667,152.4333,80.74,72,100,5.28,PG,1660427558
Saldanha,-33.0117,17.9442,51.85,65,55,15.39,ZA,1660427194
Straumen,63.8709,11.2999,57.2,84,89,2.75,NO,1660427561
Datong,40.0936,113.2914,69.66,95,100,7.36,CN,1660427563
Shahreza,32.0339,51.8794,70.02,16,0,1.88,IR,1660427564
Gáldar,28.147,-15.6502,73.35,81,30,12.17,ES,1660427566
Yar-Sale,66.8333,70.8333,50.95,79,100,11.61,RU,1660427115
Verkhovazh'ye,60.7472,42.0465,53.33,76,3,3.42,RU,1660427571
Bac Lieu,9.285,105.7244,77.52,85,5,6.08,VN,1660427572
Oktyabr'skoye,43.0645,44.7417,66.34,100,0,6.71,RU,1660427574
Rosetta,31.4044,30.4164,79.23,68,0,11.5,EG,1660427576
Bilibino,68.0546,166.4372,50.49,60,100,2.51,RU,1660427578
Margate,51.3813,1.3862,73.11,63,2,3.0,GB,1660427478
Byron Bay,-28.65,153.6167,57.7,64,0,6.15,AU,1660427241
Huntsville,34.7304,-86.5861,88.9,57,0,1.99,US,1660427390
Caernarfon,53.1413,-4.2702,68.68,77,30,5.75,GB,1660427585
Afuá,-0.1567,-50.3867,79.72,75,21,10.45,BR,1660427587
Huarmey,-10.0681,-78.1522,65.28,77,36,9.95,PE,1660427373
Gravdal,68.1214,13.5031,50.79,85,66,17.43,NO,1660427591
Talnakh,69.4865,88.3972,51.21,60,97,9.33,RU,1660427581
Ahipara,-35.1667,173.1667,55.72,74,89,2.26,NZ,1660427201
Sugar Hill,34.1065,-84.0335,84.33,61,75,10.36,US,1660427595
Armizonskoye,55.9461,67.6736,53.56,71,0,12.1,RU,1660427597
Vallenar,-28.5708,-70.7581,68.5,37,0,3.53,CL,1660427598
Kachug,53.9606,105.8817,49.77,93,60,2.95,RU,1660427600
Paris,48.8534,2.3488,79.14,37,0,6.91,FR,1660427601
Paka,4.6374,103.4368,76.98,94,76,0.0,MY,1660427603
Meadow Lake,34.8014,-106.5436,92.14,26,26,9.84,US,1660427604
Caniço,32.6333,-16.85,74.03,84,40,6.91,PT,1660427439
Labranzagrande,5.5622,-72.575,68.67,96,100,1.3,CO,1660427607
Sitka,57.0531,-135.33,60.69,77,100,10.36,US,1660427333
Hoa Binh,20.8133,105.3383,76.32,97,74,1.23,VN,1660427611
Srednekolymsk,67.45,153.6833,44.37,60,94,17.6,RU,1660427234
Arman',59.7,150.1667,61.02,89,100,6.73,RU,1660427613
Rocha,-34.4833,-54.3333,54.28,93,3,3.8,UY,1660427555
Nicoya,10.1483,-85.452,81.19,84,90,4.38,CR,1660427616
Muroto-misakicho,33.2833,134.15,83.19,81,90,8.55,JP,1660427618
Koygorodok,60.445,50.9968,53.83,66,79,3.8,RU,1660427619
Olafsvik,64.8945,-23.7142,49.14,76,26,4.92,IS,1660426932
Sola,-13.8833,167.55,77.67,89,75,0.0,VU,1660427623
Mount Isa,-20.7333,139.5,47.97,53,4,4.61,AU,1660427256
Dibulla,11.2725,-73.3091,80.73,83,100,2.89,CO,1660427626
Port Augusta,-32.5,137.7667,43.83,94,22,2.21,AU,1660427309
Dimbokro,6.6451,-4.7048,71.31,98,89,3.38,CI,1660427629
Dolores,-36.3132,-57.6792,54.77,83,25,8.63,AR,1660427630
Kodinsk,58.6881,99.1844,45.27,87,3,2.13,RU,1660427104
Kouango,4.9934,19.9619,71.51,96,100,2.68,CF,1660427633
Ratanpur,22.3,82.1667,76.15,90,100,4.56,IN,1660427635
San-Pédro,4.7485,-6.6363,75.04,85,51,9.08,CI,1660427636
Nexø,55.0607,15.1306,68.09,80,48,12.46,DK,1660427638
Khasan,42.4308,130.6434,66.18,90,65,3.44,RU,1660427639
Mataram,-8.5833,116.1167,76.01,87,7,5.23,ID,1660427641
Yerbogachën,61.2767,108.0108,45.43,83,92,1.45,RU,1660427518
Inta,66.0317,60.1659,46.89,91,100,14.72,RU,1660427644
Suifenhe,44.4,131.1667,58.93,94,0,3.4,CN,1660427645
Hualmay,-11.0964,-77.6139,63.61,77,19,10.04,PE,1660427647
Baruun-Urt,46.6806,113.2792,57.45,90,100,6.42,MN,1660427164
Beyneu,45.3167,55.2,87.28,22,51,9.51,KZ,1660427590
Kaohsiung City,22.6163,120.3133,81.03,84,40,3.44,TW,1660427651
Kidal,18.4411,1.4078,92.39,28,61,8.41,ML,1660427652
Kavieng,-2.5744,150.7967,81.73,74,100,8.93,PG,1660427654
Graaff-Reinet,-32.2522,24.5308,43.92,93,3,5.39,ZA,1660427655
Giddalūr,15.35,78.9167,77.14,72,100,16.11,IN,1660427658
Assiut,27.181,31.1837,84.38,27,0,12.88,EG,1660427118
Avera,33.194,-82.5271,87.55,38,99,6.02,US,1660427252
Maragogi,-9.0122,-35.2225,74.73,70,69,13.24,BR,1660427662
Port Macquarie,-31.4333,152.9167,48.88,63,0,6.96,AU,1660427466
Loa Janan,-0.583,117.095,72.28,98,93,2.48,ID,1660427665
Wajid,3.8093,43.2471,73.8,67,100,19.17,SO,1660427667
Kahului,20.8947,-156.47,84.85,72,8,8.99,US,1660427668
Porto-Novo,6.4965,2.6036,76.82,85,100,11.16,BJ,1660427409
Constantine,36.365,6.6147,83.61,23,0,2.3,DZ,1660427491
Villa Luvianos,18.9167,-100.4,72.16,74,97,2.75,MX,1660427672
Shanhecun,44.7,127.2,61.88,94,77,3.27,CN,1660427674
Ous,60.9058,61.5186,50.49,77,33,7.05,RU,1660427675
Slyudyanka,51.6594,103.7061,55.92,93,100,4.18,RU,1660427677
Vostok,46.4856,135.8833,60.96,75,95,1.63,RU,1660427679
Reyes,-14.3167,-67.3833,83.57,54,11,4.88,BO,1660427680
Gunjur,13.2019,-16.7339,78.87,89,75,8.05,GM,1660427683
Paraíso,9.8383,-83.8656,67.42,91,95,1.3,CR,1660427686
Warrensburg,38.7628,-93.7361,96.39,49,0,16.11,US,1660427430
Reconquista,-29.15,-59.65,68.16,64,0,8.55,AR,1660427689
Chihuahua,28.5,-106.0,85.03,27,62,12.77,MX,1660427442
Sovetskiy,61.3614,63.5842,50.22,80,38,8.32,RU,1660427692
Saint-Pierre,-21.3393,55.4781,66.9,65,0,6.91,RE,1660427693
Château-Thierry,49.05,3.4,74.35,33,8,7.23,FR,1660427695
Kudahuvadhoo,2.6708,72.8944,80.53,79,65,5.14,MV,1660427696
Khāsh,28.2211,61.2158,80.22,20,100,6.64,IR,1660427698
Ixtapa,20.7,-105.2,88.23,69,95,3.0,MX,1660427368
Iquique,-20.2208,-70.1431,60.84,80,85,5.14,CL,1660427700
Coroatá,-4.13,-44.1242,81.84,51,65,3.74,BR,1660427477
Formosa,-26.1775,-58.1781,78.78,50,75,6.51,AR,1660427703
Arrondissement de Sedan,49.6667,5.0,66.4,42,2,5.32,FR,1660427707
Zlobin,45.2924,14.6541,63.7,63,0,5.75,HR,1660427708
Salé,34.0389,-6.8166,75.88,88,40,3.44,MA,1660427710
Daşoguz,41.8363,59.9666,76.95,41,0,9.22,TM,1660427711
Jinchang,38.4953,102.1739,72.54,48,100,4.27,CN,1660427713
Lipari,38.4674,14.954,80.2,74,19,12.66,IT,1660427714
Tarakan,3.3,117.6333,80.1,89,75,8.05,ID,1660427716
Naryan-Mar,67.6713,53.087,47.05,69,96,13.06,RU,1660427717
Wuchi,29.3786,103.023,62.44,94,37,3.58,CN,1660427719
Manavālakurichi,8.1333,77.3,77.65,81,73,15.5,IN,1660427721
Kitaibaraki,36.7833,140.75,76.14,87,97,2.64,JP,1660427722
Karonga,-9.9333,33.9333,68.5,62,1,3.91,MW,1660427724
Pāthardi,19.1667,75.1833,72.59,86,100,14.61,IN,1660427726
Fuling,29.7022,107.3919,80.35,73,41,3.85,CN,1660427727
Fare,-16.7,-151.0167,77.99,76,75,13.85,PF,1660427729
Viedma,-40.8135,-62.9967,63.09,28,100,19.46,AR,1660427731
Beaverlodge,55.2166,-119.4361,78.15,36,65,7.0,CA,1660427732
Matagami,49.7502,-77.6328,73.51,40,75,4.61,CA,1660427497
Östersund,63.1792,14.6357,56.61,100,75,5.75,SE,1660427735
Nouadhibou,20.931,-17.0347,75.18,78,20,9.22,MR,1660427575
Waiuku,-37.25,174.75,56.66,74,9,1.34,NZ,1660427738
Lumeje,-11.55,20.7833,66.94,24,18,3.36,AO,1660427740
Taltal,-25.4,-70.4833,59.36,77,58,7.07,CL,1660427420
Suşehri,40.1644,38.0867,65.8,89,1,4.05,TR,1660427743
Tautira,-17.7333,-149.15,77.23,78,75,14.65,PF,1660427686
Moura,38.1401,-7.4486,68.11,52,31,7.54,PT,1660427749
Puerto del Rosario,28.5004,-13.8627,74.95,73,20,13.8,ES,1660427751
Yongzhou,26.4559,111.5988,77.49,83,20,4.65,CN,1660427752
Okato,-39.2,173.8833,45.68,72,0,5.37,NZ,1660427754
Bambanglipuro,-7.95,110.2833,75.18,92,58,1.66,ID,1660427756
Mauá,-23.6678,-46.4614,69.26,83,3,3.15,BR,1660427758
Minuri,16.535,121.8574,74.14,95,100,1.86,PH,1660427759
Pachino,36.7186,15.0907,80.31,72,1,13.15,IT,1660427761
Cotonou,6.3654,2.4183,76.98,88,20,12.66,BJ,1660427762
Forsytheganj,52.6333,29.7333,63.45,89,99,8.05,BY,1660427764
Flinders,-34.5833,150.8552,54.37,68,96,7.0,AU,1660427569
Abhā,18.2164,42.5053,69.62,88,98,4.61,SA,1660427767
Zvishavane,-20.3267,30.0665,65.32,26,0,4.92,ZW,1660427769
Cascais,38.6979,-9.4215,70.47,70,17,13.0,PT,1660427771
Kanel,15.4916,-13.1763,84.2,84,0,2.3,SN,1660427774
Norton Shores,43.1689,-86.2639,59.02,77,100,27.63,US,1660427642
Shirokaya Rechka,56.7986,60.4852,47.66,79,2,4.65,RU,1660427776
Haapiti,-17.5667,-149.8667,83.93,76,39,15.99,PF,1660427778
Merritt Island,28.5392,-80.672,84.04,72,75,5.75,US,1660427779
Turtas,58.9417,69.1325,52.21,91,100,11.14,RU,1660427781
Mendeleyevsk,55.9082,52.2905,60.04,63,90,5.28,RU,1660427784
Mudgee,-32.5943,149.5871,43.63,100,75,6.91,AU,1660427785
Tabou,4.423,-7.3528,75.22,84,39,9.53,CI,1660427399
Praia,14.9215,-23.5087,79.34,69,75,12.66,CV,1660427788
Lavrentiya,65.5833,-171.0,39.97,69,87,15.01,RU,1660427790
Cayenne,4.9333,-52.3333,84.24,1,0,9.22,GF,1660427791
Pontian Kecil,1.4801,103.3899,75.52,85,93,3.09,MY,1660427793
Pochutla,15.7432,-96.4661,83.82,67,80,6.04,MX,1660427795
Sol'-Iletsk,51.1631,54.9918,67.86,58,10,8.5,RU,1660427796
Pundaguitan,6.3711,126.1689,82.67,78,84,14.97,PH,1660427798
Aklavik,68.2191,-135.0107,69.19,46,27,14.34,CA,1660427799
San Antonio,29.4241,-98.4936,102.65,32,20,11.5,US,1660427735
Ternate,0.8,127.4,80.35,78,92,5.21,ID,1660427802
Lufilufi,-13.8745,-171.5986,82.18,74,100,8.55,WS,1660427803
The Valley,18.217,-63.0578,85.86,74,40,11.5,AI,1660427805
Yumen,40.2833,97.2,73.47,33,100,8.46,CN,1660427806
Tokur,53.1333,132.9,50.72,93,35,1.25,RU,1660427808
Wanning,18.8003,110.3967,78.58,88,38,3.83,CN,1660427810
Rawson,-43.3002,-65.1023,62.89,36,0,23.02,AR,1660427811
Sobolevo,54.4299,31.8996,62.73,91,97,7.61,RU,1660427570
Saint Anthony,45.0205,-93.218,71.38,68,100,13.8,US,1660427342
Sulangan,11.1373,123.7228,83.3,72,95,3.78,PH,1660427815
Lorengau,-2.0226,147.2712,82.36,71,100,6.55,PG,1660427726
Tura,25.5198,90.2201,74.52,93,100,5.26,IN,1660427818
Russell,32.3502,-85.1999,87.08,62,0,4.61,US,1660427128
Jasper,37.2001,-94.3502,97.0,49,43,1.01,US,1660427821
Keti Bandar,24.1447,67.4497,80.13,83,99,18.07,PK,1660427823
Skagen,57.7209,10.5839,66.52,73,15,6.58,DK,1660427824
Morón,-34.6534,-58.6198,67.93,74,7,5.99,AR,1660427778
Bassar,9.25,0.7833,71.73,95,94,4.09,TG,1660427828
La Paz,-16.5,-68.15,66.18,10,20,9.22,BO,1660427830
Chuzhou,32.3219,118.2978,82.78,68,100,5.35,CN,1660427831
Bahir Dar,11.5936,37.3908,59.95,96,100,3.4,ET,1660427833
Lerik,38.7726,48.4128,58.64,33,0,3.06,AZ,1660427836
Øksfjord,70.2396,22.3479,50.18,75,100,7.0,NO,1660427837
Muros,42.7762,-9.0603,62.17,91,3,2.26,ES,1660427839
Coahuayana Viejo,18.7333,-103.6833,82.99,78,82,6.06,MX,1660427840
Yakeshi,49.2833,120.7333,55.85,82,100,2.13,CN,1660427842
Nukus,42.4531,59.6103,75.18,41,0,4.61,UZ,1660427844
Port Townsend,48.117,-122.7605,76.66,64,100,5.75,US,1660427828
Vila Velha,-20.3297,-40.2925,73.35,64,75,4.61,BR,1660427253
Nantucket,41.2835,-70.0995,72.09,50,11,9.86,US,1660427831
Northam,51.0333,-4.2167,74.39,56,100,6.89,GB,1660427849
Khon Kaen,16.5,102.0833,74.43,89,78,2.53,TH,1660427851
Muravlenko,63.7898,74.523,49.71,88,100,23.51,RU,1660427853
Nānākuli,21.3906,-158.1547,84.42,60,27,10.25,US,1660427855
Brae,60.3964,-1.353,56.03,95,68,6.6,GB,1660427579
